text,intent,profession,source
نحتاج بلومبيي مليح في تيارت,find_worker,plumber,synth
ch7al ykalefni soudor pour une journee? w chokran,price_inquiry,welder,synth
نفض الغبرة ومسح البلاط تاع الفيلا، شكون يعرف لي يدير الميناج مليح,find_worker,cleaner,synth
restaurant mli7 l le diner f Bordj Bou Arreridj?,out_of_scope,none,synth
ياخو نحوس على شأة للكراء في مستغانم,out_of_scope,none,synth
الحيوط مخبشين ونحتاجو تصليح وصباغة واش نديار,find_worker,painter,synth
شحال يكلف الجبس تاع البيت طاح مع الشتا؟,price_inquiry,plasterer,synth
ya cheikh win nel9a pizzeria mli7a f Jijel?,out_of_scope,none,synth
pc ta3i wela lourd bzzzaf wach ndir?,out_of_scope,none,synth
الدار فيها تقصير الكم تاع القميجة من سيمانة كاملة,find_worker,tailor,synth
راني نحوس على تريتور في الجزائر العاصمة,find_worker,caterer,synth
sa7bi comment ca marche l'application?,app_question,none,synth
راني نحوس على بلاكيست في مستغانم,find_worker,plasterer,synth
nebghi net3allem la couture kayen des cours? rabi y7afdkom,out_of_scope,none,synth
ch7al ydir electricien f Alger?,price_inquiry,electrician,synth
les prix ta3 sebbak f Setif,price_inquiry,plumber,synth
نحتاج واحد يقص الحشيش تاع الجنان والله غير حاصل,out_of_scope,none,synth
بشحال الخدمة تاع kwafur تقريبا؟,price_inquiry,barber,synth
je cherche un khayat à Annaba,find_worker,tailor,synth
les prix ta3 مول السباكة f تلمسان?,price_inquiry,plumber,synth
combien coute un trisyan?,price_inquiry,electrician,synth
transporter frigo w machine wach ndir,find_worker,mover,synth
كيفاه نزيد تصاور لخدماتي؟,app_question,none,synth
نحب نتعلم الكهرباء واش كاين تكوين؟ وشكرا مسبڨا,out_of_scope,none,synth
crepissage ta3 façade wach ndir,find_worker,mason,synth
راني نحوس على واحد يعاونني في خدمة في الدار في غرداية,find_worker,none,synth
شكون عندو نيميرو تاع تريسيان في تلمسان؟,find_worker,electrician,synth
les prix ta3 maçon f Bordj Bou Arreridj?,price_inquiry,mason,synth
يا خويا دلوني على ديمناجور شاطر ومعقول,find_worker,mover,synth
kifach rah el jaw f Bejaia? wallah ghir 7asel,out_of_scope,none,synth
مستعجل: نحتاج couturier اليوم في Oran,urgent_service,tailor,synth
nbi3 telephone samsung presque jdid,out_of_scope,none,synth
arrosage automatique lel jnina chkoun yrakbou? wallah ghir 7asel,out_of_scope,none,synth
نحب نتعلم الحلاقة باش نحل صالون بارك الله فيكم,out_of_scope,none,synth
واش هي الأسعار تاع واحد يعاونني في خدمة في الدار في برج بوعريريج؟,price_inquiry,none,synth
الما يڨطر من سڨف الحمام، شكون يعرف plombier مليح؟,find_worker,plumber,synth
نحتاج لي ينقل الأثاث مليح في بسكرة,find_worker,mover,synth
شحال نخلص باش نصلح الكليمة تجري الما من الداخل؟ ياخو,price_inquiry,ac_repair,synth
صباغة الأبواب والفنيترات,find_worker,painter,synth
faux plafond avec lumiere indirecte chkoun 3ando solution,find_worker,plasterer,synth
نحب نركب باب رئيسية جديدة، شكون يعرف منوزيي مليح؟ الله يخليك,find_worker,carpenter,synth
نبغي نديار قفص حديد فوق السطح، شكون يعرف لحّام مليح؟,find_worker,welder,synth
win kayen pharmacie qriba f Oran? w chokran,out_of_scope,none,synth
chkoun 3ando numero ta3 ميكانيكي f الجزائر العاصمة?,find_worker,mechanic,synth
ya kho nheb net3allem la couture kayen des cours?,out_of_scope,none,synth
راهي عندي الموتور يسخن ياسر وحاصل,find_worker,mechanic,synth
wach n9der nkoun worker w client f meme temps? merci,app_question,none,synth
les amis ya3tik saha,greeting_chitchat,none,synth
سلام، ضروك دورك الكناپي ولا مصفر من الاولاد ويحتاج غسيل عميق,urgent_service,cleaner,synth
ارجو المساعدة بسرعة، نقل عفش عروسة يعطيكم الصحة,urgent_service,mover,synth
n7awes 3la appartement l kra f Alger,out_of_scope,none,synth
le paiement fel appli kifah ykoun,app_question,none,synth
des etageres l biro ... chkoun ysal7hali?,find_worker,carpenter,synth
نحتاج تريتور لفطور رمضان لعائلة كبيرة واش نديار,find_worker,caterer,synth
وين نقرا لانجليزيه في باتنه؟,out_of_scope,none,synth
reparer les volets ta3 fenetres wach ndir,find_worker,carpenter,synth
chkoun rbe7 el match lbare7,out_of_scope,none,synth
الدار فيها الكشابية محتاجة ترقيع من سيمانة كاملة,find_worker,tailor,synth
ya kho nb7ath 3la babysitter l wladi,out_of_scope,none,synth
جاري االي نسأسي هنا على كهربائي في اسنطينة,find_worker,electrician,synth
ريحة كابل محروق ومازال ما لقيتش لي يصلحها,find_worker,electrician,synth
combien coute un مول البناء?,price_inquiry,mason,synth
حفرة كبيرة في حيط الجبس فيسع فيسع,urgent_service,plasterer,synth
صحا، نحب نزيد بريزة جديدة في البيرو شكون عندو حل,find_worker,electrician,synth
disjoncteur yti7 kol chwiya wach ndir,find_worker,electrician,synth
clim ta3 tonobil ma tberredch w ma 3reftch win nrou7 rabi y7afdkom,find_worker,mechanic,synth
سلام، واش راك؟,greeting_chitchat,none,synth
ch7al ydir barbier f Jijel,price_inquiry,barber,synth
الدرج الخشبي يزقزق واش نديار,find_worker,carpenter,synth
شحال تكلف خدمة: فو بلافون مع اضاءة مخبية,price_inquiry,plasterer,synth
شكون عندو نيميرو نتاع صباغ في باتنة؟,find_worker,painter,synth
ياخو دلوني على مول السباكة شاطر ومعأول,find_worker,plumber,synth
ch7al ykalefni بلاكيست pour une journee?,price_inquiry,plasterer,synth
صاحبي نحب نحفف قبل العيد فيسع فيسع,urgent_service,barber,synth
les amis nheb net3allem la soudure kayen formation?,out_of_scope,none,synth
les haies y7tajo taille chkoun ydirha,out_of_scope,none,synth
بشحال الخدمة تاع حلاأ تأريبا؟,price_inquiry,barber,synth
كيفاش نشوف تگييمات العامل گبل ما نخدم معاه؟,app_question,none,synth
ya cheikh besoin d un منوزيي serieux f سطيف,find_worker,carpenter,synth
"svp agent de nettoyage f Tiaret vite, femme de menage teji kol jem3a",urgent_service,cleaner,synth
ch7al taman bach ndir repeindre la façade ta3 dar?,price_inquiry,painter,synth
واش راك؟ وشكرا مسبقا,greeting_chitchat,none,synth
ya khouya kifah rah el jaw f Tlemcen?,out_of_scope,none,synth
الكونتور يدق كي نشعلو زوج ماشينات,find_worker,electrician,synth
نحتاج خياط مليح في بومرداس,find_worker,tailor,synth
من فضلكم واش معنى الاشتراك برو للعامل؟,app_question,none,synth
يا جماعة شحال يكلف الما ضعيف ما يطلعش للطابق؟,price_inquiry,plumber,synth
ya kho wesh rak?,greeting_chitchat,none,synth
je cherche un khayat à Tizi Ouzou,find_worker,tailor,synth
نحوس على شگة للكراء في بليدة,out_of_scope,none,synth
دوك دورك جبس السقف طايح شوية شوية,urgent_service,plasterer,synth
nettoyage nta3 dar kamla 3awnouni,find_worker,cleaner,synth
les prix ta3 soudor f Ouargla?,price_inquiry,welder,synth
besoin d un mol clima serieux f Boumerdes,find_worker,ac_repair,synth
cas urgent: les murs mkharbchin ye7tajo enduit,urgent_service,painter,synth
combien pour gateaux traditionnels lel 3ers?,price_inquiry,caterer,synth
واش التطبيڨ مجاني ولا بالخلاص؟,app_question,none,synth
شكون يركب سقي أوتوماتيك في الجنينة؟ والله غير حاصل,out_of_scope,none,synth
راني نحوس على لحّام في وهران,find_worker,welder,synth
نحتاج كاميو صغير ننقل بيه الأثاث، شكون يعرف لي ينقل الأثاث مليح؟,find_worker,mover,synth
نقل تلاجة وماشينة للطابق الثالث واش نديار,find_worker,mover,synth
شحال السوم تاع مول الحلاقة؟,price_inquiry,barber,synth
"bonjour, cas urgent: coiffure a domicile pour le mariage",urgent_service,barber,synth
وين نشري ماكينة خياطة جديدة في Annaba؟,out_of_scope,none,synth
labas? rabi y7afdkom,greeting_chitchat,none,synth
le portail khrej men blasstou!! chkoun yji fissa3,urgent_service,welder,synth
ch7al ydir مصلح تلاجات f جيجل? rabi y7afdkom,price_inquiry,appliance_repair,synth
نأدر نلأى مول البلاكو يجي اليوم لـ اسنطينة؟,find_worker,plasterer,synth
سلام، التابلو الكهربائي قديم ويخوف,find_worker,electrician,synth
sa7bi merci bcp,greeting_chitchat,none,synth
لاباتري راهي ميتة عاونوني,find_worker,mechanic,synth
نحب نبدل لون الصالون ومازال ما لڨيتش لي يصلحها,find_worker,painter,synth
cas urgent: voiture ma techa3lch,urgent_service,mechanic,synth
batterie morte n7taj mecanicien tawa dork,urgent_service,mechanic,synth
ya kho restaurant ghaya l le diner f Mostaganem?,out_of_scope,none,synth
"3andi escalier en bois yzegzeg, chkoun ye3ref menuisier zin",find_worker,carpenter,synth
ارجو المساعدة بسرعة، نحب صباغة غرفة الأطفال بألوان شابة,urgent_service,painter,synth
خويا نحب نبدل الروبينات تاع الكوزينة شكون يجي يشوفها,find_worker,plumber,synth
ya khouya win nechri gazon w les plantes f Bejaia?,out_of_scope,none,synth
nheb سودور yji lyoum l غرداية,find_worker,welder,synth
kifach nes7ab compte ta3i? wallah ghir 7asel,app_question,none,synth
ch7al taman bach ndir retouche ta3 costume?,price_inquiry,tailor,synth
وين كاين أقرب صيدلية في ورقلة؟,out_of_scope,none,synth
3andi la clim ma tsakhanch f chta,find_worker,ac_repair,synth
كيفاه نشارك في العروض تاع الخدمات؟ الله يخليك,app_question,none,synth
راهي عندي راسي شعث بزاف ونحتاج نحفف وحاصل,find_worker,barber,synth
دلوني على مول البلاكو شاطر ومعقول,find_worker,plasterer,synth
الضو مقطوع في الدار كامل فيسع فيسع,urgent_service,electrician,synth
نحب نشري طوموبيل مستعملة، واش تنصحوني؟,out_of_scope,none,synth
win nechri machine a coudre f Skikda? merci,out_of_scope,none,synth
يا خويا نأدر نلأى مول السباكة يجي اليوم لـ سطيف؟,find_worker,plumber,synth
شحال نخلص باش نصلح الكليمه تجري الما من الداخل؟,price_inquiry,ac_repair,synth
يا شيخ واش التطبيڨ يخدم بلا انترنات؟,app_question,none,synth
الماشينة تاع الصابون تجري الما من تحت من فضلكم,find_worker,appliance_repair,synth
ya cheikh le portail khrej men blasstou ... chkoun ysal7hali?,find_worker,welder,synth
ya kho kifah nghayyer profession fel compte ta3i?,app_question,none,synth
شحال يكلفني صباغ لليوم كامل؟,price_inquiry,painter,synth
femme de menage l villa kol khemis w ma 3reftch win nrou7,find_worker,cleaner,synth
وين نشري ماكينة خياطة جديدة في Boumerdes؟,out_of_scope,none,synth
le platre ta3 plafond tcheqqeq ... chkoun ysal7hali?,find_worker,plasterer,synth
الكونتور يدق كي نشعلو زوج ماشينات شكون عندو حل,find_worker,electrician,synth
decor jebs fel plafond w ma 3reftch win nrou7,find_worker,plasterer,synth
nheb najjar yji lyoum l Biskra,find_worker,carpenter,synth
les prix ta3 تريسيان f وهران?,price_inquiry,electrician,synth
يعطيكم الصحة، نحوس بلومبيي ناشط في سطيف,find_worker,plumber,synth
ma l9itch agent de nettoyage disponible f Annaba,find_worker,cleaner,synth
je cherche un menuisier à Oran,find_worker,carpenter,synth
wach neqder nesta3mel l appli offline?,app_question,none,synth
كيفاش نبدل رڨم تيليفوني في الكونت؟,app_question,none,synth
monter un mur en parpaing n7taj bennay tawa dork,urgent_service,mason,synth
ya khouya win kayen pharmacie 9riba f تيارت?,out_of_scope,none,synth
ارجو المساعدة بسرعة، الباب تاع الكوزينة تكسر الله يخليك,urgent_service,carpenter,synth
نقدر نلقى واحد يعاونني في خدمة في الدار يجي اليوم لـ سكيكدة؟,find_worker,none,synth
rani n7awes 3la reparateur climatiseur f Ouargla,find_worker,ac_repair,synth
نحوس على طبيب أسنان مليح في بليدة يعطيكم الصحة,out_of_scope,none,synth
ربي يحفظكم والله غير حاصل,greeting_chitchat,none,synth
واش كاين شي حلاق قريب من بجاية؟,find_worker,barber,synth
وين نشري الزرع والورد للجنان في Chlef؟,out_of_scope,none,synth
ياخو شحال يدير peintre في Chlef؟,price_inquiry,painter,synth
nebghi najjar yji lyoum l Alger,find_worker,carpenter,synth
صحيت خويا يعطيكم الصحة,greeting_chitchat,none,synth
شكون عندو نيميرو نتاع maçon في Skikda؟,find_worker,mason,synth
wach kayen peintre qrib meni f Batna? rabi y7afdkom,find_worker,painter,synth
"3andi rideaux lel salon sur mesure, chkoun ye3ref couturiere mli7?",find_worker,tailor,synth
wach ne9der nesta3mel l appli offline,app_question,none,synth
ch7al ydir 7addad f Oran?,price_inquiry,welder,synth
ma l9itch bennay disponible f Setif,find_worker,mason,synth
ngel les meubles l dar jdida wach ndir,find_worker,mover,synth
كيفاه نمسح الحساب تاعي؟ ياخو,app_question,none,synth
من فضلكم البلاط تاع الساحة تحرك وتكسر فيسع فيسع,urgent_service,mason,synth
3andi lave-vaisselle y7bes f nos svp,find_worker,appliance_repair,synth
ma l9itch demenageur disponible f Biskra,find_worker,mover,synth
ya kho rani n7awes 3la wa7ed y3aweni f khedma f dar f Ouargla,find_worker,none,synth
wach negder ncancel demande b3aththa,app_question,none,synth
drouk dork cuisiniere ma tech3elch,urgent_service,appliance_repair,synth
je cherche un femme de ménage à Constantine,find_worker,cleaner,synth
installation sonnette ta3 el bab w ma 3reftch win nrou7,find_worker,electrician,synth
واش نقدر نستعمل التطبيق كضيف بلا كونت؟ والله غير حاصل,app_question,none,synth
les amis kifach nghayyer profession fel compte ta3i?,app_question,none,synth
نحوس على طبيب أسنان مليح في سكيكدة,out_of_scope,none,synth
wach men film zin nchoufou lyoum,out_of_scope,none,synth
grand menage ta3 printemps w ma 3reftch win nrou7,find_worker,cleaner,synth
ya khouya wach men film mli7 nchoufou lyoum?,out_of_scope,none,synth
combien coute un électricien?,price_inquiry,electrician,synth
وين نشري الزرع والورد للجنان في Mostaganem؟,out_of_scope,none,synth
الصباغة تڨشرت في البيت!! نحتاج واحد يجي فيسع ياخو,urgent_service,painter,synth
chkoun 3ando numero nta3 trisyan f Chlef,find_worker,electrician,synth
traiteur pour mariage 100 personnes n7taj traiteur tawa dork,urgent_service,caterer,synth
rani n7awes 3la reparateur machine a laver f Annaba,find_worker,appliance_repair,synth
svp ecran ta3 telephone therres win nsal7ou?,out_of_scope,none,synth
واش هي الأسعار نتاع خياطة في باتنة؟,price_inquiry,tailor,synth
retouche nta3 costume men fadlkom,find_worker,tailor,synth
وين نشري ماكينة خياطة جديدة في تيارت؟,out_of_scope,none,synth
douk dork plafond placo tah mennou tarf,urgent_service,plasterer,synth
واش كاين شي مول الميكانيك اريب من وهران؟,find_worker,mechanic,synth
راني نحوس على مول الحلاقة في برج بوعريريج,find_worker,barber,synth
عندي نحب نركب باب رئيسية جديدة,find_worker,carpenter,synth
معليش تقولي كيفاش راه الطقس في بومرداس؟,out_of_scope,none,synth
cas urgent: clim ydir bruit bizarre,urgent_service,ac_repair,synth
ya kho kifah neb3et demande de service?,app_question,none,synth
يعطيكم الصحة، نحوس لي يصلح الكليمة ناشط في سكيكدة,find_worker,ac_repair,synth
بليز تريتور في غرداية دوك دوك، تريتور للختانة نهار الجمعة وشكرا مسبقا,urgent_service,caterer,synth
3awnouni menage hebdomadaire w rani 7asel,urgent_service,cleaner,synth
جاري قالي نسقسي هنا على couturier في Constantine,find_worker,tailor,synth
salam,greeting_chitchat,none,synth
chkoun 3ando numero ta3 bennay f Tizi Ouzou?,find_worker,mason,synth
راني نحوس على ماصون في وهران,find_worker,mason,synth
وين نشري ماكينة خياطة جديدة في الجزائر العاصمة؟,out_of_scope,none,synth
مستعجل: نحتاج تريتور اليوم في تيارت,urgent_service,caterer,synth
ch7al taman bach ndir nettoyage ta3 les bureaux?,price_inquiry,cleaner,synth
"slm, 3andi mochkla f wifi ta3 djezzy",out_of_scope,none,synth
chkoun 3ando numero ta3 najjar f Setif?,find_worker,carpenter,synth
تنظيف الموكيت والكناپي,find_worker,cleaner,synth
الكشابية محتاجة ترقيع واش نديار,find_worker,tailor,synth
سلام، شحال تكلف خدمة: التلاجة تدير صوت غريب؟,price_inquiry,appliance_repair,synth
كسكسي لخمسين نفر لصدقة ومازال ما لقيتش لي يصلحها,find_worker,caterer,synth
peinture ta3 chambre d'enfants chkoun 3ando solution,find_worker,painter,synth
nheb reparateur climatiseur yji lyoum l Tizi Ouzou,find_worker,ac_repair,synth
cas urgent: monter un mur en parpaing,urgent_service,mason,synth
واش نقدر نلغي طلب بعثتو؟ والله غير حاصل,app_question,none,synth
"bonjour, balustrade lel balcon wach ndir",find_worker,welder,synth
راهي عندي الكم نتاع الفيستة طويل ويحتاج تقصير وحاصل,find_worker,tailor,synth
les prix ta3 électricien f Mostaganem?,price_inquiry,electrician,synth
عندي كاين ريحة مجاري في الحمام ونحتاج واحد يصلحهالي الله يخليك,find_worker,plumber,synth
wach kayen menuisier 9rib meni f Setif?,find_worker,carpenter,synth
نحب نديار سياج حول الجنان عاونوني,find_worker,mason,synth
kifach neb3et demande de service,app_question,none,synth
ch7al taman bach ndir peindre le plafond,price_inquiry,painter,synth
وين نلقى بيتزيريا مليحة في تيزي وزو؟,out_of_scope,none,synth
wach kayen najjar 9rib meni f Tiaret?,find_worker,carpenter,synth
شحال تكلف خدمة: الباب الحديدية خرجت من بلاصتها,price_inquiry,welder,synth
sa7bi ch7al taman bach ndir peindre le plafond?,price_inquiry,painter,synth
عندي نحتاج طباخة لعرس مية نفر ونحتاج واحد يصلحهالي,find_worker,caterer,synth
واش راهي أخبار الماتش نتاع البارح؟,out_of_scope,none,synth
نأدر نلأى لي يصلح الكليمة يجي اليوم لـ غرداية,find_worker,ac_repair,synth
نحوس على طبيب أسنان مليح في بومرداس,out_of_scope,none,synth
بليز ميكانيسيان في بسكرة ضركا ضركا، الطوموبيل ما تحبش تشعل,urgent_service,mechanic,synth
شحال تكلف خدمة: نحتاج حلاق للعريس صباح العرس,price_inquiry,barber,synth
دورك دورك نبنيو غرفة زيادة للضياف في الحوش,urgent_service,mason,synth
recette ta3 tajine 7lou lel 3id,out_of_scope,none,synth
صباغة الأبواب والفنيترات شكون عندو حل,find_worker,painter,synth
واش التطبيق يخدم بلا انترنات,app_question,none,synth
نحب نبدل لون الصالون ومازال ما لقيتش لي يصلحها,find_worker,painter,synth
سلام خويا، مساء الخير,greeting_chitchat,none,synth
وين نشري بلاكات بلاكو بالجملة؟ بارك الله فيكم,out_of_scope,none,synth
نحب نكوموندي حلويات تأليدية للعرس، شكون يعرف تريتور مليح؟,find_worker,caterer,synth
ch7al nkhalles bach nsale7 parquet mkhareb,price_inquiry,carpenter,synth
"saha, kifach nghayyer profession fel compte ta3i?",app_question,none,synth
win kayen pharmacie 9riba f سطيف?,out_of_scope,none,synth
win nechri machine a coudre f Ouargla?,out_of_scope,none,synth
"saha, 3awnouni repas ta3 khetana jour el jem3a w rani 7asel",urgent_service,caterer,synth
واش هي الأسعار نتاع لي يدير الميناج في قسنطينة؟,price_inquiry,cleaner,synth
البورطاي ما عادش يتسكر مليح فيسع فيسع,urgent_service,welder,synth
n7affef 3and dar men fadlkom ya kho,find_worker,barber,synth
kifah neb3et demande de service,app_question,none,synth
kifach nactivi la localisation fel appli,app_question,none,synth
عاونوني! التابلو الكهربائي قديم ويخوف وراني حاصل,urgent_service,electrician,synth
sa7bi wach ne9der ncancel demande b3aththa?,app_question,none,synth
ya cheikh les haies y7tajo taille chkoun ydirha?,out_of_scope,none,synth
"bonjour, 3lach les notifications ma yjounich?",app_question,none,synth
ma lgitch سودور disponible f باتنة,find_worker,welder,synth
معليش تقولي كيفاش راه الطقس في مستغانم؟,out_of_scope,none,synth
rani n7awes 3la soudeur f Bordj Bou Arreridj,find_worker,welder,synth
نحب نتعلم الخياطة واش كاين تكوين قريب,out_of_scope,none,synth
شحال يكلف الماشينة تاع الصابون ما تدورش,price_inquiry,appliance_repair,synth
n7awlou l dar jdida f nefs el 7ay,find_worker,mover,synth
صحا، كيفاش نفعل الموأع باش يلأاوني العمال؟,app_question,none,synth
chkoun 3ando numero nta3 menuisier f Jijel?,find_worker,carpenter,synth
ch7al taman bach ndir lavabo rah mfwiti?,price_inquiry,plumber,synth
clim ma tberredch w ma 3reftch win nrou7,find_worker,ac_repair,synth
la clim na9esha gaz n7taj تقني كليماتيزور tawa douk,urgent_service,ac_repair,synth
من فضلكم خويا اللافيسال تحبس في نص البروغرام شكون يجي يشوفها,find_worker,appliance_repair,synth
مستعجل: نحتاج حلاق اليوم في الجزائر العاصمة,urgent_service,barber,synth
"bonjour, combien pour peinture ta3 dar kamla?",price_inquiry,painter,synth
sa7bi ma l9itch mason disponible f Batna,find_worker,mason,synth
ya kho wach kayen najjar grib meni f Tizi Ouzou?,find_worker,carpenter,synth
وين كاين أقرب صيدلية في Oran؟,out_of_scope,none,synth
نبغي نزيد بريزة جديدة في البيرو ومازال ما لقيتش لي يصلحها,find_worker,electrician,synth
وين نشري ماكينة خياطة جديدة في Setif؟,out_of_scope,none,synth
tableau electrique 9dim!! chkoun yji fissa3?,urgent_service,electrician,synth
sa7bi ch7al ykalefni plakist pour une journee?,price_inquiry,plasterer,synth
kifach nchouf les avis nta3 worker?,app_question,none,synth
refaire le carrelage ta3 cuisine 3awnouni,find_worker,mason,synth
cas urgent: tabbakha tji ttayeb f dar,urgent_service,caterer,synth
وين نلڨى بيتزيريا مليحة في عنابة؟,out_of_scope,none,synth
يعطيك الصحة,greeting_chitchat,none,synth
الله يخليكم نبغي نحفف گبل العيد ومگدرتش نلگى حل,urgent_service,barber,synth
3awnouni la clim na9esha gaz w rani 7asel,urgent_service,ac_repair,synth
تصبحو على خير,greeting_chitchat,none,synth
win nel2a pizzeria mli7a f Constantine?,out_of_scope,none,synth
السطح يقطر ونحتاج ايتونشيتي عاونوني,find_worker,mason,synth
يعطيكم الصحة، نحوس ماصون ناشط في جيجل,find_worker,mason,synth
شحال يكلف نحب نحفف قبل العيد؟,price_inquiry,barber,synth
je cherche un mol clima à Tiaret,find_worker,ac_repair,synth
3andi clim ydir bruit bizarre,find_worker,ac_repair,synth
