text,intent,profession,source
وين نقرا لانجليزية في عنابة؟,out_of_scope,none,synth
win ncheri blakat blakou baljemla?,out_of_scope,none,synth
"3andi tabbakha lel 3ers, chkoun ye3ref traiteur mli7?",find_worker,caterer,synth
شحال يكلفني بنّاء لليوم كامل,price_inquiry,mason,synth
مستعجل: نحتاج مول الكليمة اليوم في سطيف,urgent_service,ac_repair,synth
nfed lghbera wmes7 el blat nta3 el fila mn fdelkem,find_worker,cleaner,synth
n7eb sbagha ghrefa el atfal balouan chaba fissa3 fissa3,urgent_service,painter,synth
wach kayen مول البناء 9rib meni f باتنة?,find_worker,mason,synth
wech lttebiq mjani wla balkhelas? wallah ghir 7asel,app_question,none,synth
وين نلڨى الطلبات لي بعثتهم؟,app_question,none,synth
clim tetlok ri7a khayba chkoun 3ando solution,find_worker,ac_repair,synth
wech el ttebi9 ykhedm bla anternat,app_question,none,synth
فو بلافون مع اضاءة مخبية ونحتاج مول البلاكو ديركت توا,urgent_service,plasterer,synth
dork dork ri7at el mjari fel hammam,urgent_service,plumber,synth
بشحال الخدمة تاع فام دو ميناج تقريبا؟,price_inquiry,cleaner,synth
n7taj nrakeb skhan lma jdid!! n7taj wa7d yji fissa3,urgent_service,plumber,synth
مستعجل: نحتاج لي يدير الميناج اليوم في بليدة,urgent_service,cleaner,synth
جاري ڨالي نسڨسي هنا على كهربائي في عنابة يعطيكم الصحة,find_worker,electrician,synth
شكون عندو نيميرو تاع سباك في تيزي وزو؟ بارك الله فيكم,find_worker,plumber,synth
ch7al lsoum ta3 li ydir lminaj,price_inquiry,cleaner,synth
شحال نخلص باش نصلح السروال يحتاج تقصير؟,price_inquiry,tailor,synth
بليز منوزيي في بليدة دورك دورك، نحب نديار كوزينة خشب على قياس,urgent_service,carpenter,synth
"3andi micro-onde mat, chkoun ye3ref réparateur électroménager mli7?",find_worker,appliance_repair,synth
جاري گالي نسگسي هنا على تريسيان في تيزي وزو,find_worker,electrician,synth
بليز لي ينقل الأثاث في تيارت دورك دورك، ديمناجمون كامل للدار,urgent_service,mover,synth
"3andi cloture en fer te7taj soudure, chkoun ye3ref لحّام mli7?",find_worker,welder,synth
cas urgent: baignoire msdouda,urgent_service,plumber,synth
دورك دورك نحتاج طياب للوليمة نهار السبت,urgent_service,caterer,synth
نحتاج بنّاء مليح في بومرداس,find_worker,mason,synth
"bonjour, devis approximatif: lampe techmel w tetfa wa7edha?",price_inquiry,electrician,synth
لاباس عليكم,greeting_chitchat,none,synth
sa7bi el lh ykhelikm nheb nzid priza jdida fi lbirou wme2dertech nle2a 7l,urgent_service,electrician,synth
الماشينة تاع الصابون ما تدورش من فضلكم,find_worker,appliance_repair,synth
bn nuit khouya svp,greeting_chitchat,none,synth
يعطيك الصحه,greeting_chitchat,none,synth
3andi frigo ydir bruit bizarre,find_worker,appliance_repair,synth
wach kayen barbier 9rib meni f Oran?,find_worker,barber,synth
حالة مستعجلة: نبغي نبدل بلاصة الكليمة,urgent_service,ac_repair,synth
شحال السوم تاع peintre,price_inquiry,painter,synth
الله يخليكم قنوات الما تاع الدار قدام يسقطو ومقدرتش نلقى حل,urgent_service,plumber,synth
msa el khir,greeting_chitchat,none,synth
كيفاش نبدل رڨم تيليفوني في الكونت,app_question,none,synth
جاري گالي نسگسي هنا على تريسيان في غرداية,find_worker,electrician,synth
ch7al ykalefni طباخة pour une journee?,price_inquiry,caterer,synth
restaurant ghaya l le diner f بسكرة?,out_of_scope,none,synth
الفنيترة ما تسكرش مليح ونحتاج najjar ديركت توا,urgent_service,carpenter,synth
chhal ykelf n7taj tnedif eddar 9bel ma nseknou fiha?,price_inquiry,cleaner,synth
chkoun 3ando numero ta3 wa7ed y3aweni f khedma f dar f الجزائر العاصمة?,find_worker,none,synth
واش نقدر نلغي طلب بعثتو,app_question,none,synth
combien pour fuite d'eau f la cuisine?,price_inquiry,plumber,synth
n7taj t9eni klimatizour yji ghodwa lsba7 l batna,find_worker,ac_repair,synth
nheb ncheri machina saboun jdida ch7al el soum?,out_of_scope,none,synth
7ala mset3ejla: nbedlou dar lchher el jai wne7tajou n9el l9ch,urgent_service,mover,synth
سلام خويا، نحب نشري ماشينة صابون جديدة شحال السوم؟,out_of_scope,none,synth
راهي عندي الجبس نتاع السقف تشقق ومحتاج تصليح وحاصل,find_worker,plasterer,synth
واش كاين شي مول السودير قريب من تيزي وزو؟,find_worker,welder,synth
عندي نحتاج مرا تعاون ماما في قضيان الدار في الدار، واش نديار؟,find_worker,cleaner,synth
الفنيترة ما تسكرش مليح ومازال ما لأيتش لي يصلحها,find_worker,carpenter,synth
الدار فيها خياطة ريدو للصالون من سيمانة كاملة,find_worker,tailor,synth
شحال يكلف الكليمة ما تسخنش في الشتا؟,price_inquiry,ac_repair,synth
"y3etikm ls7a, nhawes bloumbi nacht f skikda",find_worker,plumber,synth
el bab l7didia khrejt mn blasteha chkoun 3nedou 7l,find_worker,welder,synth
kifach n3ayet l worker apres la mission? wallah ghir 7asel,app_question,none,synth
je cherche un agent de nettoyage à Tlemcen,find_worker,cleaner,synth
صحا، بشحال الخدمة نتاع مول الخياطة تقريبا؟,price_inquiry,tailor,synth
نحب نديار باب حديد للحوش شكون عندو حل,find_worker,welder,synth
kifech nchouf t2iimat el 3aml 2bel ma nkhedm m3ah,app_question,none,synth
من فضلكم كيفاش نبعث طلب خدمة؟,app_question,none,synth
واش كاين شي electricien ڨريب من Constantine؟,find_worker,electrician,synth
combien pour transport ta3 les affaires l dar jdida?,price_inquiry,mover,synth
يا شيخ واش من فيلم زين نتفرجو اليوم؟,out_of_scope,none,synth
coiffure a domicile pour le mariage!! chkoun yji fissa3?,urgent_service,barber,synth
نحب نبدل الروبينات تاع الكوزينة فيسع فيسع,urgent_service,plumber,synth
"saha, wach men film mli7 nchoufou lyoum?",out_of_scope,none,synth
drouk dork machine a laver tejri el ma men ta7t,urgent_service,appliance_repair,synth
ya kho pc ta3i wela lourd bezzaf wach ndir?,out_of_scope,none,synth
عندي الباب تاع الكوزينة تكسر,find_worker,carpenter,synth
ياخو صباح الخير,greeting_chitchat,none,synth
نڨدر نلڨى mecanicien يجي اليوم لـ Blida,find_worker,mechanic,synth
n7awes 3la appartement l kra f Bordj Bou Arreridj,out_of_scope,none,synth
win nechri gazon w les plantes f Ghardaia?,out_of_scope,none,synth
يعطيكم الصحة، نحوس مول الميكانيك ناشط في وهران,find_worker,mechanic,synth
بشحال الخدمة تاع ميكانيسيان تقريبا؟,price_inquiry,mechanic,synth
nzid des prises fel cuisine 3awnouni,find_worker,electrician,synth
الما ضعيف ما يطلعش للطابق واش نديار,find_worker,plumber,synth
نحوس على شگة للكراء في غرداية,out_of_scope,none,synth
kifach rah el jaw f Boumerdes?,out_of_scope,none,synth
ياخو كيفاش نشوف تأييمات العامل ابل ما نخدم معاه؟,app_question,none,synth
3andi embrayage yzle9,find_worker,mechanic,synth
wach kayen mol clima 9rib meni f Jijel?,find_worker,ac_repair,synth
الدار فيها نحتاج كاميو صغير ننقل بيه الأثاث من سيمانة كاملة,find_worker,mover,synth
صحا، الطوموبيل تدخن دخان كحل شكون عندو حل,find_worker,mechanic,synth
سلام خويا، شكون عندو نيميرو تاع نجار في عنابة؟,find_worker,carpenter,synth
بليز مصلح تلاجات في الجزائر العاصمة دورك دورك، اللافيسال تحبس في نص البروغرام بارك الله فيكم,urgent_service,appliance_repair,synth
مستعجل: نحتاج مول البناء اليوم في مستغانم,urgent_service,mason,synth
ch7al ykalefni بنّاء pour une journee,price_inquiry,mason,synth
بشحال الخدمة تاع عاملة تنظيف تقريبا؟,price_inquiry,cleaner,synth
الكليمة تطلق ريحة كريهة ونحتاج لي يصلح الكليمة ديركت توا,urgent_service,ac_repair,synth
mur ta3 7ouch mayel n7taj bennay tawa dork,urgent_service,mason,synth
chkoun 3ando numero ta3 peintre f Annaba?,find_worker,painter,synth
les prix ta3 couturier f Ghardaia?,price_inquiry,tailor,synth
ya cheikh ch7al ykelf el achterak fi lchher?,app_question,none,synth
نحب نديار پلاكار على ڨياس ونحتاج منوزيي ديركت توا,urgent_service,carpenter,synth
وين نقرا لانجليزية في جيجل؟,out_of_scope,none,synth
cas urgent: installer des spots fel plafond,urgent_service,electrician,synth
dorka dork nfed lghbera wmes7 el blat ta3 lfila,urgent_service,cleaner,synth
nqel 3fech 3rousa wach ndiar,find_worker,mover,synth
الجنان محتاج تنگية وگازون جديد ياخو,out_of_scope,none,synth
n7awes 3la ch9a llekra f msetghanm,out_of_scope,none,synth
سقف الغاراج طايح منو الاسمنت وباين الحديد ونحتاج maçon ديركت توا,urgent_service,mason,synth
واش الخلاص يكون كاش ولا بالكارطة؟ بارك الله فيكم,app_question,none,synth
واش هي الأسعار تاع صباغ في برج بوعريريج؟,price_inquiry,painter,synth
femme de menage l villa kol khemis men fadlkom,find_worker,cleaner,synth
جاري گالي نسگسي هنا على فام دو ميناج في بومرداس,find_worker,cleaner,synth
wech rahi akhbar el match ta3 el bar7?,out_of_scope,none,synth
rahi 3nedi t7efifa llaoulad 9bel ldkhoul lmdersi w7asl,find_worker,barber,synth
يا جماعة كيفاش نفعل الموقع باش يلقاوني العمال؟,app_question,none,synth
نحتاج سباك يجي غدوة الصباح لـ بليدة,find_worker,plumber,synth
ch7al ydir peintre f Constantine?,price_inquiry,painter,synth
عندي الاومبرياج يزلأ في الدار، واش نديار؟,find_worker,mechanic,synth
n7awes 3la ristouroun mli7 lle3cha f stif,out_of_scope,none,synth
سلام خويا، وين نلأى بيتزيريا مليحة في ورألة؟,out_of_scope,none,synth
الدار فيها نگل بيانو من الطابگ الرابع من سيمانة كاملة,find_worker,mover,synth
الرطوبة كلات الحيط تاع البيت ومازال ما لقيتش لي يصلحها,find_worker,mason,synth
عندي نحب نركب تريات في السقف في الدار، واش نديار؟,find_worker,electrician,synth
وين نلقى تكوين في النجارة,out_of_scope,none,synth
pc ta3i wela lourd yasser wach ndir?,out_of_scope,none,synth
restaurant mli7 l le diner f Oran?,out_of_scope,none,synth
الدار محتاجة تنظيف عميق شكون عندو حل يعطيكم الصحة,find_worker,cleaner,synth
déménagement complet men fadlkom,find_worker,mover,synth
wach kayen chi sbagh 2rib mn jijl?,find_worker,painter,synth
kifach rah el jaw f Blida?,out_of_scope,none,synth
ch7al taman bach ndir escalier en bois yzegzeg?,price_inquiry,carpenter,synth
wach kayen wa7ed y3aweni f khedma f dar qrib meni f Boumerdes? merci,find_worker,none,synth
"saha, arjou lmsa3da bser3a, el jbes ta3 plafond tche99 wme7taj tesli7",urgent_service,plasterer,synth
rahi 3nedi el tablou lkahrabji gdim wikhouf w7asl,find_worker,electrician,synth
بليز tabbakha في Mostaganem دورك دورك، كسكسي لخمسين نفر لصدگة,urgent_service,caterer,synth
nebghi ndiar bab 7did lle7ouch wech ndiar,find_worker,welder,synth
دوك دورك تنظيف الفور والتلاجة والكوزينة الكل قبل رمضان يعطيكم الصحة,urgent_service,cleaner,synth
عندي مشكله في الويفي نتاع دجيزي,out_of_scope,none,synth
شحال يكلف نحتاج تنظيف الزجاج والفنيترات تاع الفيلا؟,price_inquiry,cleaner,synth
عاونوني! كي نشعل الماشينه يطيح الضو وراني حاصل,urgent_service,electrician,synth
kifach nmes7 el 7sab ta3i? rabi y7afdkom,app_question,none,synth
ma l9itch مول الجبس disponible f سكيكدة,find_worker,plasterer,synth
jari 9ali nse9si hna 3la plombi fi el jzair el 3asma,find_worker,plumber,synth
يا خويا دلوني على ديمناجور شاطر ومعقول,find_worker,mover,synth
coupe degradé m3a trait men fadlkom,find_worker,barber,synth
"bliz li yne9l el athath fi ghredaia dork dork, n7eb nne9l el 3fech ldar jdida",urgent_service,mover,synth
بليز خياطه في وهران دوك دوك، نبغي نخيط كسوه تگليديه للعرس,urgent_service,tailor,synth
ch7al nkhalles bach nsale7 four ma yeskhonch?,price_inquiry,appliance_repair,synth
مستعجل: نحتاج طباخة اليوم في سكيكدة,urgent_service,caterer,synth
"bliz moul el sbaka fi batna dork dork, el baniou msedoud walma ma ynezlech",urgent_service,plumber,synth
y3etik el s7a,greeting_chitchat,none,synth
الدرج الخشبي يزگزگ ومازال ما لگيتش لي يصلحها ياخو,find_worker,carpenter,synth
يا جماعة نحب نبدل لون الصالون ومازال ما لگيتش لي يصلحها,find_worker,painter,synth
شحال يدير واحد يعاونني في خدمة في الدار في الجزائر العاصمة؟,price_inquiry,none,synth
نقل مكتب من وسط المدينة فيسع فيسع,urgent_service,mover,synth
راني نحوس على مول السباكة في مستغانم,find_worker,plumber,synth
صحا، شحال يكلفني منوزيي لليوم كامل؟,price_inquiry,carpenter,synth
chhal tkelf khdema: n7eb bourtai 7did llegharaj,price_inquiry,welder,synth
شحال نخلص باش نصلح اللافابو راه يفويتي؟,price_inquiry,plumber,synth
ضركا دورك الميكروند مات,urgent_service,appliance_repair,synth
